rank,url,path,clicks,impressions,ctr,position,business_value,score,action
21,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles,/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,6,430,0.013999999999999999,7.49,5,16.07,"Rewrite title, meta, intro, CTA, and internal links"
22,https://shaffercon.com/industry-insights/complete-home-led-lighting-upgrade-guide/,/industry-insights/complete-home-led-lighting-upgrade-guide/,0,428,0.0,8.43,4,15.795,Improve snippet and add stronger hiring intent
23,https://shaffercon.com/industry-insights/ev-charging-reliability-improvements-condo-hoa-installation-guide-ladwp-sce-rebates-post-tax-credit-market/,/industry-insights/ev-charging-reliability-improvements-condo-hoa-installation-guide-ladwp-sce-rebates-post-tax-credit-market/,0,118,0.0,8.38,5,15.567,"Rewrite title, meta, intro, CTA, and internal links"
24,https://shaffercon.com/service-areas/beverly-hills/residential-smart-automation-systems/,/service-areas/beverly-hills/residential-smart-automation-systems/,0,259,0.0,16.41,5,15.395,"Rewrite title, meta, intro, CTA, and internal links"
25,https://shaffercon.com/industry-insights/dedicated-circuits-when-why-home-appliances-need-them/,/industry-insights/dedicated-circuits-when-why-home-appliances-need-them/,14,3913,0.0036,9.79,3,15.391,Monitor or improve after higher value pages
26,https://shaffercon.com/industry-insights/bathroom-electrical-safety-gfci-requirements/,/industry-insights/bathroom-electrical-safety-gfci-requirements/,5,3106,0.0016,6.96,3,15.38,Monitor or improve after higher value pages
27,https://shaffercon.com/service-areas/glendale/residential-electrical-panel-upgrades/,/service-areas/glendale/residential-electrical-panel-upgrades/,6,561,0.010700000000000001,15.06,5,15.029,"Rewrite title, meta, intro, CTA, and internal links"
28,https://shaffercon.com/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,0,95,0.0,7.2,5,14.867,"Rewrite title, meta, intro, CTA, and internal links"
29,https://shaffercon.com/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,0,211,0.0,13.58,5,14.83,"Rewrite title, meta, intro, CTA, and internal links"
30,https://shaffercon.com/industry-insights/pushmatic-panel-upgrade-guide/,/industry-insights/pushmatic-panel-upgrade-guide/,0,93,0.0,6.37,5,14.798,"Rewrite title, meta, intro, CTA, and internal links"
31,https://shaffercon.com/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,0,91,0.0,7.44,5,14.728,"Rewrite title, meta, intro, CTA, and internal links"
32,https://shaffercon.com/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,0,91,0.0,8.57,5,14.728,"Rewrite title, meta, intro, CTA, and internal links"
33,https://shaffercon.com/statewide-facilities-maintenance/,/statewide-facilities-maintenance/,0,203,0.0,13.09,5,14.724,"Rewrite title, meta, intro, CTA, and internal links"
34,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-opportunities-for-sustainable-growth/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-opportunities-for-sustainable-growth/,0,89,0.0,6.07,5,14.657,"Rewrite title, meta, intro, CTA, and internal links"
35,https://shaffercon.com/service-areas/santa-monica/residential-ev-charger-installation/,/service-areas/santa-monica/residential-ev-charger-installation/,1,142,0.006999999999999999,7.52,5,14.656,"Rewrite title, meta, intro, CTA, and internal links"
36,https://shaffercon.com/industry-insights/how-to-choose-right-ev-charger-los-angeles/,/industry-insights/how-to-choose-right-ev-charger-los-angeles/,0,86,0.0,9.21,5,14.546,"Rewrite title, meta, intro, CTA, and internal links"
37,https://shaffercon.com/industry-insights/led-retrofit-guide-los-angeles-businesses/,/industry-insights/led-retrofit-guide-los-angeles-businesses/,0,264,0.0,7.86,4,14.539,Improve snippet and add stronger hiring intent
38,https://shaffercon.com/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,0,172,0.0,17.02,5,14.268,"Rewrite title, meta, intro, CTA, and internal links"
39,https://shaffercon.com/industry-insights/exploring-shaffer-constructions-load-study-services-in-la/,/industry-insights/exploring-shaffer-constructions-load-study-services-in-la/,1,129,0.0078000000000000005,8.45,5,14.206,"Rewrite title, meta, intro, CTA, and internal links"
40,https://shaffercon.com/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles/,/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles/,0,168,0.0,10.61,5,14.203,"Rewrite title, meta, intro, CTA, and internal links"
41,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,0,75,0.0,9.83,5,14.106,"Rewrite title, meta, intro, CTA, and internal links"
42,https://shaffercon.com/industry-insights/californias-ev-charging-buildout-what-los-angeles-building-owners-renters-and-fleets-should-know/,/industry-insights/californias-ev-charging-buildout-what-los-angeles-building-owners-renters-and-fleets-should-know/,0,74,0.0,8.01,5,14.063,"Rewrite title, meta, intro, CTA, and internal links"
43,https://shaffercon.com/industry-insights/navigating-the-challenges-and-solutions-in-expanding-the-ev-charging-network-in-los-angeles/,/industry-insights/navigating-the-challenges-and-solutions-in-expanding-the-ev-charging-network-in-los-angeles/,0,72,0.0,6.01,5,13.975,"Rewrite title, meta, intro, CTA, and internal links"
44,https://shaffercon.com/service-areas/burbank/residential-ev-charger-installation/,/service-areas/burbank/residential-ev-charger-installation/,1,121,0.0083,7.32,5,13.916,"Rewrite title, meta, intro, CTA, and internal links"
45,https://shaffercon.com/service-areas/burbank/residential-electrical-panel-upgrades/,/service-areas/burbank/residential-electrical-panel-upgrades/,1,199,0.005,11.52,5,13.691,"Rewrite title, meta, intro, CTA, and internal links"
46,https://shaffercon.com/industry-insights/passing-electrical-inspection-common-failures-fixes,/industry-insights/passing-electrical-inspection-common-failures-fixes/,3,363,0.0083,7.29,4,13.666,Improve snippet and add stronger hiring intent
47,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,0,65,0.0,7.82,5,13.647,"Rewrite title, meta, intro, CTA, and internal links"
48,https://shaffercon.com/service-areas/burbank/residential-electrical-panel-upgrades,/service-areas/burbank/residential-electrical-panel-upgrades/,0,60,0.0,7.18,5,13.39,"Rewrite title, meta, intro, CTA, and internal links"
49,https://shaffercon.com/service-areas/pasadena/commercial-lighting-installation-retrofitting/,/service-areas/pasadena/commercial-lighting-installation-retrofitting/,0,57,0.0,3.95,5,13.226,"Rewrite title, meta, intro, CTA, and internal links"
50,https://shaffercon.com/industry-insights/electrician-services-agoura-hills-ev/,/industry-insights/electrician-services-agoura-hills-ev/,0,116,0.0,12.28,5,13.185,"Rewrite title, meta, intro, CTA, and internal links"
51,https://shaffercon.com/service-areas/west-hollywood/commercial-smart-automation-systems/,/service-areas/west-hollywood/commercial-smart-automation-systems/,0,55,0.0,8.45,5,13.111,"Rewrite title, meta, intro, CTA, and internal links"
52,https://shaffercon.com/service-areas/santa-monica/residential-ev-charger-installation,/service-areas/santa-monica/residential-ev-charger-installation/,0,54,0.0,7.72,5,13.053,"Rewrite title, meta, intro, CTA, and internal links"
53,https://shaffercon.com/industry-insights/the-future-of-ev-charger-installations-how-government-initiatives-and-business-benefits-are-shaping-the-industry/,/industry-insights/the-future-of-ev-charger-installations-how-government-initiatives-and-business-benefits-are-shaping-the-industry/,0,101,0.0,16.97,5,12.805,"Rewrite title, meta, intro, CTA, and internal links"
54,https://shaffercon.com/industry-insights/pushmatic-panel-upgrade-guide-2/,/industry-insights/pushmatic-panel-upgrade-guide-2/,0,49,0.0,6.84,5,12.742,"Rewrite title, meta, intro, CTA, and internal links"
55,https://shaffercon.com/industry-insights/outdoor-lighting-installation-guide-los-angeles/,/industry-insights/outdoor-lighting-installation-guide-los-angeles/,1,373,0.0027,10.56,4,12.649,Improve snippet and add stronger hiring intent
56,https://shaffercon.com/industry-insights/the-latest-trends-in-ev-charger-installation-a-2024-guide-for-los-angeles-homes-businesses-and-multifamily-properties/,/industry-insights/the-latest-trends-in-ev-charger-installation-a-2024-guide-for-los-angeles-homes-businesses-and-multifamily-properties/,0,95,0.0,12.16,5,12.637,"Rewrite title, meta, intro, CTA, and internal links"
57,https://shaffercon.com/service-areas/beverly-hills/residential-ev-charger-installation/,/service-areas/beverly-hills/residential-ev-charger-installation/,0,47,0.0,5.11,5,12.609,"Rewrite title, meta, intro, CTA, and internal links"
58,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,0,46,0.0,5.22,5,12.541,"Rewrite title, meta, intro, CTA, and internal links"
59,https://shaffercon.com/industry-insights/ev-charger-installation-in-los-angeles-what-property-owners-need-to-know/,/industry-insights/ev-charger-installation-in-los-angeles-what-property-owners-need-to-know/,0,45,0.0,7.76,5,12.471,"Rewrite title, meta, intro, CTA, and internal links"
60,https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,0,117,0.0,5.53,4,12.431,Improve snippet and add stronger hiring intent
61,https://shaffercon.com/industry-insights/recessed-lighting-installation-guide,/industry-insights/recessed-lighting-installation-guide/,0,117,0.0,9.22,4,12.431,Improve snippet and add stronger hiring intent
62,https://shaffercon.com/service-areas/pasadena/commercial-smart-automation-systems/,/service-areas/pasadena/commercial-smart-automation-systems/,0,85,0.0,17.25,5,12.332,"Rewrite title, meta, intro, CTA, and internal links"
63,https://shaffercon.com/industry-insights/commercial-electrical-code-compliance-los-angeles/,/industry-insights/commercial-electrical-code-compliance-los-angeles/,0,42,0.0,9.81,5,12.251,"Rewrite title, meta, intro, CTA, and internal links"
64,https://shaffercon.com/service-areas/pasadena/commercial-security-motion-lighting/,/service-areas/pasadena/commercial-security-motion-lighting/,0,42,0.0,7.38,5,12.251,"Rewrite title, meta, intro, CTA, and internal links"
65,https://shaffercon.com/industry-insights/electrician-pasadena-ev-chargers/,/industry-insights/electrician-pasadena-ev-chargers/,1,84,0.011899999999999999,8.56,5,12.175,"Rewrite title, meta, intro, CTA, and internal links"
66,https://shaffercon.com/industry-insights/why-upgrading-your-electrical-panel-is-crucial-for-los-angeles-homes/,/industry-insights/why-upgrading-your-electrical-panel-is-crucial-for-los-angeles-homes/,0,41,0.0,5.49,5,12.174,"Rewrite title, meta, intro, CTA, and internal links"
67,https://shaffercon.com/industry-insights/ev-charging-in-2024-essential-trends-and-installation-tips-for-homeowners-businesses-in-los-angeles,/industry-insights/ev-charging-in-2024-essential-trends-and-installation-tips-for-homeowners-businesses-in-los-angeles/,0,40,0.0,7.25,5,12.096,"Rewrite title, meta, intro, CTA, and internal links"
68,https://shaffercon.com/service-areas/long-beach/commercial-smart-automation-systems/,/service-areas/long-beach/commercial-smart-automation-systems/,0,40,0.0,4.58,5,12.096,"Rewrite title, meta, intro, CTA, and internal links"
69,https://shaffercon.com/industry-insights/electrician-redondo-beach-ev-charger/,/industry-insights/electrician-redondo-beach-ev-charger/,0,39,0.0,9.82,5,12.015,"Rewrite title, meta, intro, CTA, and internal links"
70,https://shaffercon.com/service-areas/beverly-hills/residential-landscape-outdoor-lighting,/service-areas/beverly-hills/residential-landscape-outdoor-lighting/,0,38,0.0,7.37,5,11.933,"Rewrite title, meta, intro, CTA, and internal links"
71,https://shaffercon.com/service-areas/long-beach/residential-ev-charger-installation,/service-areas/long-beach/residential-ev-charger-installation/,0,38,0.0,8.37,5,11.933,"Rewrite title, meta, intro, CTA, and internal links"
72,https://shaffercon.com/service-areas/highland-park/residential-ev-charger-installation,/service-areas/highland-park/residential-ev-charger-installation/,0,37,0.0,9.86,5,11.848,"Rewrite title, meta, intro, CTA, and internal links"
73,https://shaffercon.com/service-areas/beverly-hills/residential-landscape-outdoor-lighting/,/service-areas/beverly-hills/residential-landscape-outdoor-lighting/,0,36,0.0,8.64,5,11.762,"Rewrite title, meta, intro, CTA, and internal links"
74,https://shaffercon.com/service-areas/beverly-hills/commercial-electrical-code-compliance-corrections/,/service-areas/beverly-hills/commercial-electrical-code-compliance-corrections/,0,35,0.0,8.69,5,11.672,"Rewrite title, meta, intro, CTA, and internal links"
75,https://shaffercon.com/service-areas/torrance/commercial-electrical-safety-inspections/,/service-areas/torrance/commercial-electrical-safety-inspections/,0,66,0.0,19.05,5,11.641,"Rewrite title, meta, intro, CTA, and internal links"
76,https://shaffercon.com/industry-insights/holiday-lighting-installation-safety-best-practices/,/industry-insights/holiday-lighting-installation-safety-best-practices/,0,86,0.0,7.34,4,11.637,Improve snippet and add stronger hiring intent
77,https://shaffercon.com/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles,/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles/,1,75,0.013300000000000001,7.53,5,11.605,"Rewrite title, meta, intro, CTA, and internal links"
78,https://shaffercon.com/industry-insights/boosting-local-economy-and-sustainability-the-impact-of-expanding-ev-charging-stations-in-los-angeles/,/industry-insights/boosting-local-economy-and-sustainability-the-impact-of-expanding-ev-charging-stations-in-los-angeles/,0,34,0.0,6.74,5,11.581,"Rewrite title, meta, intro, CTA, and internal links"
79,https://shaffercon.com/service-areas/hollywood/commercial-backup-generator-installation/,/service-areas/hollywood/commercial-backup-generator-installation/,0,34,0.0,9.12,5,11.581,"Rewrite title, meta, intro, CTA, and internal links"
80,https://shaffercon.com/industry-insights/afci-vs-gfci-circuit-protection-los-angeles/,/industry-insights/afci-vs-gfci-circuit-protection-los-angeles/,9,1739,0.0052,11.9,3,11.536,Monitor or improve after higher value pages
81,https://shaffercon.com/service-areas/santa-clarita/residential-ev-charger-installation/,/service-areas/santa-clarita/residential-ev-charger-installation/,0,33,0.0,8.18,5,11.486,"Rewrite title, meta, intro, CTA, and internal links"
82,https://shaffercon.com/industry-insights/the-complete-guide-to-ev-charging-infrastructure-in-los-angeles-trends-technologies-and-installation-tips-for-property-owners/,/industry-insights/the-complete-guide-to-ev-charging-infrastructure-in-los-angeles-trends-technologies-and-installation-tips-for-property-owners/,0,32,0.0,9.5,5,11.389,"Rewrite title, meta, intro, CTA, and internal links"
83,https://shaffercon.com/service-areas/culver-city/residential-ev-charger-installation/,/service-areas/culver-city/residential-ev-charger-installation/,0,32,0.0,8.59,5,11.389,"Rewrite title, meta, intro, CTA, and internal links"
84,https://shaffercon.com/service-areas/glendale/residential-landscape-outdoor-lighting/,/service-areas/glendale/residential-landscape-outdoor-lighting/,0,170,0.0,13.22,4,11.388,Monitor or improve after higher value pages
85,https://shaffercon.com/service-areas/burbank/commercial-electrical-panel-upgrades/,/service-areas/burbank/commercial-electrical-panel-upgrades/,0,59,0.0,16.88,5,11.336,"Rewrite title, meta, intro, CTA, and internal links"
86,https://shaffercon.com/industry-insights/outdoor-lighting-installation-guide-los-angeles,/industry-insights/outdoor-lighting-installation-guide-los-angeles/,0,74,0.0,7.57,4,11.25,Improve snippet and add stronger hiring intent
87,https://shaffercon.com/service-areas/pacific-palisades/residential-landscape-outdoor-lighting/,/service-areas/pacific-palisades/residential-landscape-outdoor-lighting/,0,74,0.0,7.58,4,11.25,Improve snippet and add stronger hiring intent
88,https://shaffercon.com/industry-insights/the-state-of-ev-charging-the-reality-innovations-and-whats-next-for-electric-vehicle-owners/,/industry-insights/the-state-of-ev-charging-the-reality-innovations-and-whats-next-for-electric-vehicle-owners/,0,57,0.0,14.09,5,11.242,"Rewrite title, meta, intro, CTA, and internal links"
89,https://shaffercon.com/industry-insights/electric-vehicle-charging-in-los-angeles-key-insights-and-future-trends/,/industry-insights/electric-vehicle-charging-in-los-angeles-key-insights-and-future-trends/,0,30,0.0,9.3,5,11.185,"Rewrite title, meta, intro, CTA, and internal links"
90,https://shaffercon.com/industry-insights/ultimate-guide-to-ev-charger-installation-incentives-in-los-angeles-funding-tax-credits-and-future-proof-solutions-for-2024,/industry-insights/ultimate-guide-to-ev-charger-installation-incentives-in-los-angeles-funding-tax-credits-and-future-proof-solutions-for-2024/,0,30,0.0,8.53,5,11.185,"Rewrite title, meta, intro, CTA, and internal links"
91,https://shaffercon.com/service-areas/beverly-hills/commercial-electrical-troubleshooting-repairs/,/service-areas/beverly-hills/commercial-electrical-troubleshooting-repairs/,0,30,0.0,6.67,5,11.185,"Rewrite title, meta, intro, CTA, and internal links"
92,https://shaffercon.com/service-areas/glendale/residential-ev-charger-installation,/service-areas/glendale/residential-ev-charger-installation/,0,30,0.0,8.7,5,11.185,"Rewrite title, meta, intro, CTA, and internal links"
93,https://shaffercon.com/service-areas/sherman-oaks/residential-ev-charger-installation/,/service-areas/sherman-oaks/residential-ev-charger-installation/,0,30,0.0,5.13,5,11.185,"Rewrite title, meta, intro, CTA, and internal links"
94,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,3,484,0.0062,8.53,3,11.087,Monitor or improve after higher value pages
95,https://shaffercon.com/industry-insights/do-i-need-panel-upgrade-install-ev-charger,/industry-insights/do-i-need-panel-upgrade-install-ev-charger/,0,50,0.0,15.18,5,10.886,"Rewrite title, meta, intro, CTA, and internal links"
96,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations,/industry-insights/california-title-24-electrical-requirements-renovations/,0,64,0.0,7.84,4,10.877,Improve snippet and add stronger hiring intent
97,https://shaffercon.com/service-areas/santa-monica/residential-electrical-panel-upgrades/,/service-areas/santa-monica/residential-electrical-panel-upgrades/,0,27,0.0,5.7,5,10.854,"Rewrite title, meta, intro, CTA, and internal links"
98,https://shaffercon.com/service-areas/torrance/commercial-pool-hot-tub-spa-electrical,/service-areas/torrance/commercial-pool-hot-tub-spa-electrical/,0,27,0.0,4.74,5,10.854,"Rewrite title, meta, intro, CTA, and internal links"
99,https://shaffercon.com/service-areas/glendale/commercial-backup-generator-installation,/service-areas/glendale/commercial-backup-generator-installation/,0,48,0.0,13.04,5,10.775,"Rewrite title, meta, intro, CTA, and internal links"
100,https://shaffercon.com/industry-insights/knowing-when-to-upgrade-your-commercial-electrical-systems/,/industry-insights/knowing-when-to-upgrade-your-commercial-electrical-systems/,0,26,0.0,8.19,5,10.735,"Rewrite title, meta, intro, CTA, and internal links"
101,https://shaffercon.com/industry-insights/complete-home-led-lighting-upgrade-guide,/industry-insights/complete-home-led-lighting-upgrade-guide/,0,59,0.0,7.44,4,10.669,Improve snippet and add stronger hiring intent
102,https://shaffercon.com/industry-insights/electrical-safety-inspection-checklist-los-angeles,/industry-insights/electrical-safety-inspection-checklist-los-angeles/,0,58,0.0,9.22,4,10.625,Improve snippet and add stronger hiring intent
103,https://shaffercon.com/service-areas/los-feliz/commercial-electrical-code-compliance-corrections/,/service-areas/los-feliz/commercial-electrical-code-compliance-corrections/,0,25,0.0,6.4,5,10.612,"Rewrite title, meta, intro, CTA, and internal links"
104,https://shaffercon.com/service-areas/silver-lake/commercial-landscape-outdoor-lighting/,/service-areas/silver-lake/commercial-landscape-outdoor-lighting/,0,44,0.0,13.45,5,10.539,"Rewrite title, meta, intro, CTA, and internal links"
105,https://shaffercon.com/industry-insights/gfi-electrical-outlets-ensuring-safety-in-your-electrical-setup/,/industry-insights/gfi-electrical-outlets-ensuring-safety-in-your-electrical-setup/,1,635,0.0016,14.3,3,10.494,Monitor or improve after higher value pages
106,https://shaffercon.com/service-areas/venice/commercial-landscape-outdoor-lighting,/service-areas/venice/commercial-landscape-outdoor-lighting/,0,43,0.0,13.86,5,10.477,"Rewrite title, meta, intro, CTA, and internal links"
107,https://shaffercon.com/service-areas/torrance/residential-electrical-safety-inspections/,/service-areas/torrance/residential-electrical-safety-inspections/,0,54,0.0,5.98,4,10.442,Improve snippet and add stronger hiring intent
108,https://shaffercon.com/service-areas/pasadena/commercial-backup-generator-installation,/service-areas/pasadena/commercial-backup-generator-installation/,0,42,0.0,15.14,5,10.413,"Rewrite title, meta, intro, CTA, and internal links"
109,https://shaffercon.com/industry-insights/preparing-your-property-for-the-next-wave-of-ev-charging-a-practical-guide-for-los-angeles-owners/,/industry-insights/preparing-your-property-for-the-next-wave-of-ev-charging-a-practical-guide-for-los-angeles-owners/,0,23,0.0,7.57,5,10.352,"Rewrite title, meta, intro, CTA, and internal links"
110,https://shaffercon.com/industry-insights/ultimate-guide-to-ev-charger-installation-incentives-in-los-angeles-funding-tax-credits-and-future-proof-solutions-for-2024/,/industry-insights/ultimate-guide-to-ev-charger-installation-incentives-in-los-angeles-funding-tax-credits-and-future-proof-solutions-for-2024/,0,41,0.0,13.12,5,10.348,"Rewrite title, meta, intro, CTA, and internal links"
111,https://shaffercon.com/industry-insights/panel-upgrades-navigating-federal-pacific-panel-upgrade-or-replacement/,/industry-insights/panel-upgrades-navigating-federal-pacific-panel-upgrade-or-replacement/,2,118,0.0169,11.8,5,10.25,Monitor or improve after higher value pages
112,https://shaffercon.com/industry-insights/the-green-revolution-how-ev-solutions-reduce-energy-waste-and-save-money/,/industry-insights/the-green-revolution-how-ev-solutions-reduce-energy-waste-and-save-money/,0,22,0.0,7.95,5,10.213,"Rewrite title, meta, intro, CTA, and internal links"
113,https://shaffercon.com/industry-insights/electricians-baldwin-park-ev-installation/,/industry-insights/electricians-baldwin-park-ev-installation/,0,38,0.0,12.42,5,10.143,"Rewrite title, meta, intro, CTA, and internal links"
114,https://shaffercon.com/industry-insights/the-future-of-sustainable-transportation-exploring-the-rise-of-ev-charging-stations,/industry-insights/the-future-of-sustainable-transportation-exploring-the-rise-of-ev-charging-stations/,0,21,0.0,5.43,5,10.068,"Rewrite title, meta, intro, CTA, and internal links"
115,https://shaffercon.com/service-areas/hollywood/commercial-smart-automation-systems,/service-areas/hollywood/commercial-smart-automation-systems/,0,36,0.0,13.67,5,9.997,"Rewrite title, meta, intro, CTA, and internal links"
116,https://shaffercon.com/service-areas/santa-monica/commercial-ev-charger-installation,/service-areas/santa-monica/commercial-ev-charger-installation/,0,36,0.0,18.14,5,9.997,"Rewrite title, meta, intro, CTA, and internal links"
117,https://shaffercon.com/industry-insights/the-rise-of-ev-charging-infrastructure-in-the-u-s-challenges-opportunities-and-future-prospects/,/industry-insights/the-rise-of-ev-charging-infrastructure-in-the-u-s-challenges-opportunities-and-future-prospects/,0,35,0.0,15.11,5,9.921,"Rewrite title, meta, intro, CTA, and internal links"
118,https://shaffercon.com/industry-insights/the-future-of-ev-charging-speed-security-and-reliability-for-drivers-and-businesses/,/industry-insights/the-future-of-ev-charging-speed-security-and-reliability-for-drivers-and-businesses/,0,20,0.0,6.4,5,9.917,"Rewrite title, meta, intro, CTA, and internal links"
