rank,url,path,route_type,clicks,impressions,ctr,expected_ctr,missed_clicks,position,business_value,score,need,top_queries,action
11,https://shaffercon.com/industry-insights/bathroom-electrical-safety-gfci-requirements/,/industry-insights/bathroom-electrical-safety-gfci-requirements/,blog,5,3106,0.0016097875080489374,0.025,72.7,6.96,3,18.089,ctr,gfci outlet height bathroom; nec gfci requirements bathroom; nec gfci requirements bathrooms; nec bathroom gfci requirements; electrical safety standards for bathrooms,"CTR fix, rewrite title and meta around proven queries"
12,https://shaffercon.com/industry-insights/retail-store-electrical-planning-design-guide/,/industry-insights/retail-store-electrical-planning-design-guide/,blog,1,863,0.0011587485515643105,0.025,20.6,6.49,5,17.704,ctr,retail store electrical setup; retail store electrical setups; retail buildout electrical; retail store electrical setup; retail store electrical setups,"CTR fix, rewrite title and meta around proven queries"
13,https://shaffercon.com/service-areas/long-beach/commercial-backup-generator-installation/,/service-areas/long-beach/commercial-backup-generator-installation/,service_detail,0,819,0.0,0.025,20.5,9.64,5,17.552,ctr,backup generator sales long beach ca; backup generator sales long beach ca; generator installation long beach; generator installation long beach; commercial generator installation in pembroke,"CTR fix, rewrite title and meta around proven queries"
14,https://shaffercon.com/industry-insights/federal-pacific-zinsco-panels-replacement-los-angeles/,/industry-insights/federal-pacific-zinsco-panels-replacement-los-angeles/,blog,4,896,0.004464285714285714,0.025,18.4,7.02,5,17.481,ctr,zinsco panel replacement cost; cost to replace federal pacific electrical panel; cost to replace federal pacific panel; in ca; upgrade circuit breaker panel los angeles ca,"CTR fix, rewrite title and meta around proven queries"
15,https://shaffercon.com/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles/,/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles/,blog,1,603,0.001658374792703151,0.025,14.1,7.69,5,15.862,ctr,ev charger requirement new home los angeles; ev charger requirement new home altadena; ev charger requirement new home los angeles; permits required for home ev charger installation; permitting requirements for home ev chargers,"CTR fix, rewrite title and meta around proven queries"
16,https://shaffercon.com/industry-insights/electrical-load-studies-what-they-are-los-angeles/,/industry-insights/electrical-load-studies-what-they-are-los-angeles/,blog,0,404,0.0,0.025,10.1,6.89,5,14.354,ctr,electrical load study; who can evaluate electrical capacity and infrastructure for building upgrades or new tenant loads?; who evaluates electrical capacity and infrastructure for building upgrades or new tenant loads; load study; load studies,"CTR fix, rewrite title and meta around proven queries"
17,https://shaffercon.com/,/,home,59,2218,0.02660054102795311,0.012,0.0,12.14,5,14.221,links,shaffer construction; shaffer construction; shaffer electric; schaffer construction; schaeffer construction,Monitor after higher value pages
18,https://shaffercon.com/industry-insights/electric-vehicles-mitsubishi-chargers/,/industry-insights/electric-vehicles-mitsubishi-chargers/,blog,0,360,0.0,0.025,9.0,6.93,5,13.938,ctr,"evaluate the automotive company mitsubishi on ev charging; mitsubishi charger installation; install charger for mitsubishi; mitsubishi electric, city infrastructure; mitsubishi charger installation","CTR fix, rewrite title and meta around proven queries"
19,https://shaffercon.com/electrical-load-studies/,/electrical-load-studies/,landing,8,445,0.017977528089887642,0.025,3.1,5.41,5,13.661,links,"who provides electrical system analysis for commercial buildings load capacity safety; who provides electrical system analysis for commercial buildings (load, capacity, safety)?; electrical load compliance consultant; electrical load analysis services for commercial buildings; electrical load studies","Ranking lift, add internal links and local proof"
20,https://shaffercon.com/industry-insights/ceiling-fan-installation-benefits-aesthetics/,/industry-insights/ceiling-fan-installation-benefits-aesthetics/,blog,1,700,0.0014285714285714286,0.025,16.5,9.81,4,13.261,ctr,ceiling fan installation los angeles; residential ceiling fan installation in los angeles; residential ceiling fan installation in southern ca; la ceiling fan installation; los angeles ceiling fan installation,"CTR fix, rewrite title and meta around proven queries"
21,https://shaffercon.com/industry-insights/commercial-electrician-ev-charging-safety/,/industry-insights/commercial-electrician-ev-charging-safety/,blog,0,634,0.0,0.012,7.6,19.82,5,12.818,links,ev charger electrical safety standards; commercial ev charger requirements; nec 625 electric vehicle supply equipment continuous load 125 percent; national electrical code article 625; nec 625,"Ranking lift, add internal links and local proof"
22,https://shaffercon.com/service-areas/glendale/commercial-exhaust-fan-ventilation-wiring/,/service-areas/glendale/commercial-exhaust-fan-ventilation-wiring/,service_detail,0,633,0.0,0.012,7.6,14.23,5,12.813,links,install garage ventilation fan glendale; commercial exhaust fan installation glendale; glendale garage exhaust fan; glendale garage exhaust vent; garage exhaust vent glendale,"Ranking lift, add internal links and local proof"
23,https://shaffercon.com/service-areas/santa-monica/residential-data-network-av-wiring/,/service-areas/santa-monica/residential-data-network-av-wiring/,service_detail,0,244,0.0,0.025,6.1,7.57,5,12.675,ctr,residential structured wiring near me in santa monica ca; structure wiring installation services in santa monica ca; structured wiring installation in santa monica ca; structured wiring panel installation in santa monica ca; structured wiring repair services in santa monica ca,"CTR fix, rewrite title and meta around proven queries"
24,https://shaffercon.com/industry-insights/complete-home-led-lighting-upgrade-guide/,/industry-insights/complete-home-led-lighting-upgrade-guide/,blog,0,487,0.0,0.025,12.2,8.31,4,12.063,ctr,lutron caseta energy savings payback period or annual savings; lutron caseta energy savings payback period or roi; lutron caseta energy savings payback period or cost savings; lutron caseta energy savings payback period; lutron caseta energy savings payback period or annual savings,"CTR fix, rewrite title and meta around proven queries"
25,https://shaffercon.com/service-areas/long-beach/residential-ev-charger-installation/,/service-areas/long-beach/residential-ev-charger-installation/,service_detail,0,194,0.0,0.025,4.9,9.13,5,12.006,ctr,electric car charger installation long beach; electric car charger for home long beach; ev charger installation in long beach ca; electric car charger installation long beach; home ev chargers long beach ny,"CTR fix, rewrite title and meta around proven queries"
26,https://shaffercon.com/service-areas/santa-monica/residential-ev-charger-installation/,/service-areas/santa-monica/residential-ev-charger-installation/,service_detail,1,196,0.00510204081632653,0.025,3.9,7.58,5,11.92,ctr,ev charger installation santa monica; electric car charger installation santa monica; electric car charger installation santa monica; ev charger installation santa monica; ev charger installation near me,"CTR fix, rewrite title and meta around proven queries"
27,https://shaffercon.com/service-areas/glendale/residential-electrical-panel-upgrades/,/service-areas/glendale/residential-electrical-panel-upgrades/,service_detail,6,561,0.0106951871657754,0.012,0.7,15.06,5,11.772,links,electrical panel upgrades hillside; electrical panel repair glendale; electrical panel upgrade glendale; electric panel glendale; glendale az low voltage design and installation packages,"Ranking lift, add internal links and local proof"
28,https://shaffercon.com/service-areas/torrance/,/service-areas/torrance/,location,0,415,0.0,0.012,5.0,15.2,5,11.685,links,torrance ca electrical safety; torrance electrical safety; electrical contractors torrance; electrical safety torrance ca; whole-home backup generator installation 90275,Monitor after higher value pages
29,https://shaffercon.com/industry-insights/top-electric-vehicles-for-2024-a-comprehensive-guide/,/industry-insights/top-electric-vehicles-for-2024-a-comprehensive-guide/,blog,0,159,0.0,0.025,4.0,9.21,5,11.459,ctr,ev charger installation design ideas 2024; best ev brands with charging infrastructure 2024; best ev brands for charging infrastructure 2024; ev brands with best charging infrastructure 2024; quali auto elettriche sono adatte se non si dispone di una wallbox domestica?,"CTR fix, rewrite title and meta around proven queries"
30,https://shaffercon.com/service-areas/inglewood/,/service-areas/inglewood/,location,0,363,0.0,0.012,4.4,15.01,5,11.359,links,electrician inglewood; electrical services inglewood; home rewiring inglewood; electrical installation inglewood; electrical panel upgrade inglewood ca,Monitor after higher value pages
31,https://shaffercon.com/industry-insights/electrical-service-upgrade-100-to-200-amp-guide/,/industry-insights/electrical-service-upgrade-100-to-200-amp-guide/,blog,0,150,0.0,0.025,3.8,7.89,5,11.303,ctr,,"CTR fix, rewrite title and meta around proven queries"
32,https://shaffercon.com/service-areas/boyle-heights/,/service-areas/boyle-heights/,location,0,145,0.0,0.025,3.6,8.36,5,11.214,ctr,shaffer construction; boyle heights; electrical installation service in beverly hills ca; shaffer construction co,"CTR fix, rewrite title and meta around proven queries"
33,https://shaffercon.com/industry-insights/exploring-shaffer-constructions-load-study-services-in-la/,/industry-insights/exploring-shaffer-constructions-load-study-services-in-la/,blog,1,144,0.006944444444444444,0.025,2.6,8.44,5,11.088,ctr,"who provides electrical system analysis for commercial buildings (load, capacity, safety)?; who provides electrical system analysis for commercial buildings load capacity safety; electrical assets site analysis services; who evaluates electrical capacity and infrastructure for building upgrades or new tenant loads; who provides electrical system analysis for commercial buildings load capacity safety","CTR fix, rewrite title and meta around proven queries"
34,https://shaffercon.com/industry-insights/ev-charging-reliability-improvements-condo-hoa-installation-guide-ladwp-sce-rebates-post-tax-credit-market/,/industry-insights/ev-charging-reliability-improvements-condo-hoa-installation-guide-ladwp-sce-rebates-post-tax-credit-market/,blog,0,118,0.0,0.025,3.0,8.38,5,10.684,ctr,,"CTR fix, rewrite title and meta around proven queries"
35,https://shaffercon.com/service-areas/burbank/residential-ev-charger-installation/,/service-areas/burbank/residential-ev-charger-installation/,service_detail,1,121,0.008264462809917356,0.025,2.0,7.32,5,10.643,ctr,ev charger installation burbank; ev charging station installation burbank,"CTR fix, rewrite title and meta around proven queries"
36,https://shaffercon.com/industry-insights/colliers-envirospark-chargepoint-express-grid-wyoming-ev-marketplace-tesla-lost-hills-2025-technology-breakthroughs/,/industry-insights/colliers-envirospark-chargepoint-express-grid-wyoming-ev-marketplace-tesla-lost-hills-2025-technology-breakthroughs/,blog,0,115,0.0,0.025,2.9,7.39,5,10.619,ctr,"""the point hotel & suites"" envirospark charging","CTR fix, rewrite title and meta around proven queries"
37,https://shaffercon.com/industry-insights/understanding-your-los-angeles-electrical-bill/,/industry-insights/understanding-your-los-angeles-electrical-bill/,blog,2,7094,0.000281928390188892,0.025,175.4,5.18,1,10.604,ctr,ladwp residential bill line items explained; ladwp residential bill line items breakdown explained; los angeles department of water and power residential bill line items explained; los angeles department of water and power bill breakdown for homeowners; los angeles department of water and power bill line items explained,Deprioritize unless it supports a money page
38,https://shaffercon.com/service-areas/beverly-hills/residential-smart-automation-systems/,/service-areas/beverly-hills/residential-smart-automation-systems/,service_detail,0,259,0.0,0.012,3.1,16.41,5,10.583,links,smart home automation beverly hills; smart home automation in beverly hills; whole-home smart home automation beverly park; home automation beverly hills; smart lighting control beverly hills,"Ranking lift, add internal links and local proof"
39,https://shaffercon.com/industry-insights/led-retrofit-guide-los-angeles-businesses/,/industry-insights/led-retrofit-guide-los-angeles-businesses/,blog,0,290,0.0,0.025,7.2,7.99,4,10.57,ctr,industrial led upgrade,"CTR fix, rewrite title and meta around proven queries"
40,https://shaffercon.com/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,blog,0,112,0.0,0.025,2.8,7.35,5,10.553,ctr,"""ev charging"" ""trends.google.com/trends/explore""","CTR fix, rewrite title and meta around proven queries"
41,https://shaffercon.com/service-areas/atwater-village/,/service-areas/atwater-village/,location,0,255,0.0,0.012,3.1,16.99,5,10.548,links,atwater electrical contractor; shaffer construction; electrical service in atwater ca; generator installation griffith; atwater construction,Monitor after higher value pages
42,https://shaffercon.com/service-areas/burbank/residential-electrical-panel-upgrades/,/service-areas/burbank/residential-electrical-panel-upgrades/,service_detail,1,259,0.003861003861003861,0.012,2.1,10.51,5,10.48,ctr,electrical panel upgrades burbank; electrical panel upgrades burbank; electrical code updates burbank; electric panel burbank; panel upgrades westbank,"CTR fix, rewrite title and meta around proven queries"
43,https://shaffercon.com/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,blog,0,107,0.0,0.025,2.7,7.43,5,10.439,ctr,,"CTR fix, rewrite title and meta around proven queries"
44,https://shaffercon.com/industry-insights/pushmatic-panel-upgrade-guide/,/industry-insights/pushmatic-panel-upgrade-guide/,blog,0,103,0.0,0.025,2.6,6.35,5,10.345,ctr,pushmatic electrical panel replacement; are pushmatic panels safe; pushmatic breaker; pushmatic breakers,"CTR fix, rewrite title and meta around proven queries"
45,https://shaffercon.com/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,blog,0,226,0.0,0.012,2.7,13.24,5,10.285,links,ev charger installation permit; ev charger requirement new home los angeles; level 3 ev charging for retail properties; safe and efficient ev installation; commercial ev chargers in los angeles,"Ranking lift, add internal links and local proof"
46,https://shaffercon.com/industry-insights/gfi-electrical-outlets-ensuring-safety-in-your-electrical-setup/,/industry-insights/gfi-electrical-outlets-ensuring-safety-in-your-electrical-setup/,blog,1,635,0.0015748031496062992,0.012,6.6,14.3,4,10.163,links,gfi protection; gfci outlet requirements; gfi protected; gfi electrical; gfci requirements,"Ranking lift, add internal links and local proof"
47,https://shaffercon.com/statewide-facilities-maintenance/,/statewide-facilities-maintenance/,landing,0,203,0.0,0.012,2.4,13.09,5,10.055,links,retail electrical maintenance; statewide facility maintenance services; 24 hour emergency electrical service near me in beverly hills ca; heavy equipment operator school; heavy equipment school near me,"Ranking lift, add internal links and local proof"
48,https://shaffercon.com/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,blog,0,91,0.0,0.025,2.3,8.57,5,10.042,ctr,,"CTR fix, rewrite title and meta around proven queries"
49,https://shaffercon.com/service-areas/santa-monica/,/service-areas/santa-monica/,location,0,197,0.0,0.012,2.4,19.17,5,9.992,links,generator repair services in santa monica; electrical contractor santa monica; santa monica electrical contractor; electrical contractors santa monica; commercial electrician santa monica,Monitor after higher value pages
50,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-opportunities-for-sustainable-growth/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-opportunities-for-sustainable-growth/,blog,0,89,0.0,0.025,2.2,6.07,5,9.989,ctr,,"CTR fix, rewrite title and meta around proven queries"
51,https://shaffercon.com/industry-insights/how-to-choose-right-ev-charger-los-angeles/,/industry-insights/how-to-choose-right-ev-charger-los-angeles/,blog,0,88,0.0,0.025,2.2,9.07,5,9.961,ctr,"""tesla wall connector"" ""nema 3r""","CTR fix, rewrite title and meta around proven queries"
52,https://shaffercon.com/industry-insights/electrician-pasadena-ev-chargers/,/industry-insights/electrician-pasadena-ev-chargers/,blog,1,90,0.011111111111111112,0.025,1.2,8.66,5,9.918,ctr,ev charger installation pasadena; ev charger requirement new home altadena; home ev charging station installers pasadena,"CTR fix, rewrite title and meta around proven queries"
53,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,blog,0,85,0.0,0.025,2.1,9.57,5,9.878,ctr,,"CTR fix, rewrite title and meta around proven queries"
54,https://shaffercon.com/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,blog,0,172,0.0,0.012,2.1,17.02,5,9.708,links,challenges deploying nacs j3400 and mcs concurrently ev charging infrastructure; ev charging network migration; challenges deploying sae j3400 and mcs concurrently ev infrastructure; challenges deploying nacs j3400 and mcs chargers concurrently infrastructure; ev charger installation design ideas 2025,"Ranking lift, add internal links and local proof"
55,https://shaffercon.com/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles/,/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles/,blog,0,168,0.0,0.012,2.0,10.61,5,9.659,ctr,ira ev charging incentives commercial,"CTR fix, rewrite title and meta around proven queries"
56,https://shaffercon.com/service-areas/pacific-palisades/residential-smart-automation-systems/,/service-areas/pacific-palisades/residential-smart-automation-systems/,service_detail,0,165,0.0,0.012,2.0,12.85,5,9.622,links,home automation systems pacific palisades; smart home experts pacific palisades; home security installation pacific palisades; home automation in pacific palisades; smart home automation in pacific palisades,"Ranking lift, add internal links and local proof"
57,https://shaffercon.com/industry-insights/californias-ev-charging-buildout-what-los-angeles-building-owners-renters-and-fleets-should-know/,/industry-insights/californias-ev-charging-buildout-what-los-angeles-building-owners-renters-and-fleets-should-know/,blog,0,74,0.0,0.025,1.9,8.01,5,9.549,ctr,,"CTR fix, rewrite title and meta around proven queries"
58,https://shaffercon.com/service-areas/beverly-hills/residential-landscape-outdoor-lighting/,/service-areas/beverly-hills/residential-landscape-outdoor-lighting/,service_detail,0,74,0.0,0.025,1.9,7.99,5,9.549,ctr,outdoor landscape lighting beverly hills ca; outdoor landscape lighting beverly hills ca,"CTR fix, rewrite title and meta around proven queries"
59,https://shaffercon.com/industry-insights/navigating-the-challenges-and-solutions-in-expanding-the-ev-charging-network-in-los-angeles/,/industry-insights/navigating-the-challenges-and-solutions-in-expanding-the-ev-charging-network-in-los-angeles/,blog,0,72,0.0,0.025,1.8,6.01,5,9.484,ctr,,"CTR fix, rewrite title and meta around proven queries"
60,https://shaffercon.com/service-areas/pasadena/residential-smart-automation-systems/,/service-areas/pasadena/residential-smart-automation-systems/,service_detail,0,178,0.0,0.025,4.5,7.47,4,9.412,ctr,"home automation systems pasadena, ca; smart home company pasadena ca; smart lighting control pasadena; smart lighting control pasadena, ca; home automation contractor pasadena, ca","CTR fix, rewrite title and meta around proven queries"
61,https://shaffercon.com/industry-insights/outdoor-lighting-installation-guide-los-angeles/,/industry-insights/outdoor-lighting-installation-guide-los-angeles/,blog,1,447,0.0022371364653243847,0.012,4.4,10.07,4,9.408,ctr,outdoor lighting fixture design in los angeles; outdoor lighting installation los angeles; lighting installers los angeles; los angeles landscape lighting; outdoor lighting installers los angeles,"CTR fix, rewrite title and meta around proven queries"
62,https://shaffercon.com/service-areas/burbank/residential-smart-automation-systems/,/service-areas/burbank/residential-smart-automation-systems/,service_detail,0,66,0.0,0.025,1.7,7.67,5,9.281,ctr,smart home automation burbank; smart devices burbank; smart devices burbank,"CTR fix, rewrite title and meta around proven queries"
63,https://shaffercon.com/industry-insights/afci-vs-gfci-circuit-protection-los-angeles/,/industry-insights/afci-vs-gfci-circuit-protection-los-angeles/,blog,9,1743,0.0051635111876075735,0.012,11.9,11.88,3,9.251,ctr,cafci vs afci; gfci and afci protection check; gfci & afci protection check; afci vs cafci; afci breaker vs regular breaker,"CTR fix, rewrite title and meta around proven queries"
64,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,blog,0,65,0.0,0.025,1.6,7.82,5,9.246,ctr,,"CTR fix, rewrite title and meta around proven queries"
65,https://shaffercon.com/service-areas/pasadena/commercial-lighting-installation-retrofitting/,/service-areas/pasadena/commercial-lighting-installation-retrofitting/,service_detail,0,59,0.0,0.05,3.0,4.04,5,9.153,ctr,commercial lighting solutions pasadena; commercial lighting installation pasadena ca; commercial storefront,"CTR fix, rewrite title and meta around proven queries"
66,https://shaffercon.com/industry-insights/electric-water-heater-installation-requirements-costs/,/industry-insights/electric-water-heater-installation-requirements-costs/,blog,0,152,0.0,0.025,3.8,8.16,4,9.071,ctr,ladbs express permits water heater replacement; water heater installation permit cost us; cost of water heater installation permits us; permits cost for water heater installation us; water heater installation permits cost us,"CTR fix, rewrite title and meta around proven queries"
67,https://shaffercon.com/service-areas/west-hollywood/commercial-smart-automation-systems/,/service-areas/west-hollywood/commercial-smart-automation-systems/,service_detail,0,58,0.0,0.025,1.5,8.43,5,8.983,ctr,commercial automation los angeles ca; commercial automation solutions los angeles; commercial automation services los angeles,"CTR fix, rewrite title and meta around proven queries"
68,https://shaffercon.com/industry-insights/electrician-services-agoura-hills-ev/,/industry-insights/electrician-services-agoura-hills-ev/,blog,0,116,0.0,0.012,1.4,12.28,5,8.912,links,electrician agoura hills; residential electrician agoura hills ca; electrician agoura hills ca; professional electrician agoura hills ca; agoura hills solar electricity,"Ranking lift, add internal links and local proof"
69,https://shaffercon.com/service-areas/highland-park/,/service-areas/highland-park/,location,1,121,0.008264462809917356,0.012,0.5,19.05,5,8.907,links,circuit breaker installation highland park; generator installation highland park; ev home charger installation highland park; ev charger installation highland park; electrical service upgrades highland park,Monitor after higher value pages
70,https://shaffercon.com/service-areas/beverly-hills/residential-ev-charger-installation/,/service-areas/beverly-hills/residential-ev-charger-installation/,service_detail,0,55,0.0,0.025,1.4,5.29,5,8.861,ctr,,"CTR fix, rewrite title and meta around proven queries"
71,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,blog,9,5779,0.0015573628655476727,0.025,135.5,5.93,1,8.858,ctr,nec clearchat official model; yes; nec clearchat model official; 2023 nec ev charger requirements; 2026 power claim system,Deprioritize unless it supports a money page
72,https://shaffercon.com/industry-insights/whole-house-generator-installation-guide-los-angeles/,/industry-insights/whole-house-generator-installation-guide-los-angeles/,blog,2,148,0.013513513513513514,0.025,1.7,6.6,4,8.841,links,home installed electrical power generators; standby generator installation permit requirements,"Ranking lift, add internal links and local proof"
73,https://shaffercon.com/industry-insights/panel-upgrades-navigating-federal-pacific-panel-upgrade-or-replacement/,/industry-insights/panel-upgrades-navigating-federal-pacific-panel-upgrade-or-replacement/,blog,2,119,0.01680672268907563,0.012,0.0,11.78,5,8.837,links,"federal pacific electrical panel upgrades tacoma, wa; pacific retrofit; federal pacific electric (fpe) panels; what is a federal pacific electrical panel sf","Ranking lift, add internal links and local proof"
74,https://shaffercon.com/industry-insights/tesla-supercharger-business-program-us-dc-fast-charging-record-gas-stations-ev-chargers-california-leads-adoption/,/industry-insights/tesla-supercharger-business-program-us-dc-fast-charging-record-gas-stations-ev-chargers-california-leads-adoption/,blog,1,5316,0.00018811136192626034,0.025,131.9,9.28,1,8.64,ctr,tesla supercharger for business cost per stall 2026; supercharger for business features; tesla supercharger for business program cost per stall 2026; us automotive supercharger market; tesla supercharger for business,Deprioritize unless it supports a money page
75,https://shaffercon.com/industry-insights/the-future-of-ev-charger-installations-how-government-initiatives-and-business-benefits-are-shaping-the-industry/,/industry-insights/the-future-of-ev-charger-installations-how-government-initiatives-and-business-benefits-are-shaping-the-industry/,blog,0,101,0.0,0.012,1.2,16.97,5,8.64,links,ev charging station incentive commercial business 2025; ev supply equipment for government facilities; ev charging evse rebate commercial 2025 utility,"Ranking lift, add internal links and local proof"
76,https://shaffercon.com/industry-insights/pushmatic-panel-upgrade-guide-2/,/industry-insights/pushmatic-panel-upgrade-guide-2/,blog,0,49,0.0,0.025,1.2,6.84,5,8.599,ctr,,"CTR fix, rewrite title and meta around proven queries"
77,https://shaffercon.com/industry-insights/the-latest-trends-in-ev-charger-installation-a-2024-guide-for-los-angeles-homes-businesses-and-multifamily-properties/,/industry-insights/the-latest-trends-in-ev-charger-installation-a-2024-guide-for-los-angeles-homes-businesses-and-multifamily-properties/,blog,0,95,0.0,0.012,1.1,12.16,5,8.521,links,multi unit ev charger installation; ev charger requirement new home pacific palisades; ev charger installation los angeles; ev charger installation los angeles ca; ev charger requirement new home altadena,"Ranking lift, add internal links and local proof"
78,https://shaffercon.com/industry-insights/voltpost-lamppost-charging-porsche-wireless-florida-highway-rivian-r2-chevy-bolt-return/,/industry-insights/voltpost-lamppost-charging-porsche-wireless-florida-highway-rivian-r2-chevy-bolt-return/,blog,1,48,0.020833333333333332,0.025,0.2,7.54,5,8.468,links,,"Ranking lift, add internal links and local proof"
79,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,blog,0,46,0.0,0.025,1.2,5.22,5,8.457,ctr,,"CTR fix, rewrite title and meta around proven queries"
