issue,url,canonical_path,last_crawled,route_type,business_value,action
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-where-the-network-is-headed-and-how-property-owners-can-prepare,/industry-insights/ev-charging-in-los-angeles-where-the-network-is-headed-and-how-property-owners-can-prepare/,2025-12-01,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-the-u-s-trends-policy-shifts-and-solutions-for-homes-businesses-and-multifamily-buildings-in-los-angeles/,/industry-insights/ev-charging-in-the-u-s-trends-policy-shifts-and-solutions-for-homes-businesses-and-multifamily-buildings-in-los-angeles/,2026-02-07,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-infrastructure-in-california-latest-trends-challenges-and-solutions-for-homeowners-and-businesses/,/industry-insights/ev-charging-infrastructure-in-california-latest-trends-challenges-and-solutions-for-homeowners-and-businesses/,2026-01-21,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-infrastructure-in-california-latest-trends-challenges-and-solutions-for-homeowners-and-businesses,/industry-insights/ev-charging-infrastructure-in-california-latest-trends-challenges-and-solutions-for-homeowners-and-businesses/,2025-11-26,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-revolution-reliability-challenges-california-milestones-and-next-generation-technologies-reshaping-los-angeles-infrastructure,/industry-insights/ev-charging-revolution-reliability-challenges-california-milestones-and-next-generation-technologies-reshaping-los-angeles-infrastructure/,2025-12-06,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-revolution-reliability-challenges-california-milestones-and-next-generation-technologies-reshaping-los-angeles-infrastructure/,/industry-insights/ev-charging-revolution-reliability-challenges-california-milestones-and-next-generation-technologies-reshaping-los-angeles-infrastructure/,2025-12-06,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/expanding-electric-vehicle-charging-infrastructure-a-look-at-california-and-beyond,/industry-insights/expanding-electric-vehicle-charging-infrastructure-a-look-at-california-and-beyond/,2025-12-05,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/expanding-ev-charging-infrastructure-current-trends-challenges-and-future-investment/,/industry-insights/expanding-ev-charging-infrastructure-current-trends-challenges-and-future-investment/,2026-03-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/home-panel-upgrade-guide,/industry-insights/home-panel-upgrade-guide/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-california-and-nationwide-funding-changes-make-now-the-time-to-install-ev-chargers-a-practical-guide-for-los-angeles-property-owners/,/industry-insights/how-california-and-nationwide-funding-changes-make-now-the-time-to-install-ev-chargers-a-practical-guide-for-los-angeles-property-owners/,2026-01-18,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-los-angeles-property-owners-can-install-ev-chargers-funding-financing-and-practical-steps/,/industry-insights/how-los-angeles-property-owners-can-install-ev-chargers-funding-financing-and-practical-steps/,2026-03-22,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-los-angeles-property-owners-can-install-ev-chargers-funding-financing-and-practical-steps,/industry-insights/how-los-angeles-property-owners-can-install-ev-chargers-funding-financing-and-practical-steps/,2025-12-04,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-ready-is-your-property-for-ev-chargers-a-practical-guide-for-los-angeles-homeowners-businesses/,/industry-insights/how-ready-is-your-property-for-ev-chargers-a-practical-guide-for-los-angeles-homeowners-businesses/,2026-01-14,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-to-choose-right-ev-charger-los-angeles/,/industry-insights/how-to-choose-right-ev-charger-los-angeles/,2025-12-20,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/how-to-know-home-needs-electrical-panel-upgrade/,/industry-insights/how-to-know-home-needs-electrical-panel-upgrade/,2026-03-04,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,/industry-insights/installing-ev-chargers-in-los-angeles-your-guide-to-a-greener-future/,2026-03-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/latest-innovations-in-ev-charging-how-shaffer-construction-is-leading-the-way-in-los-angeles,/industry-insights/latest-innovations-in-ev-charging-how-shaffer-construction-is-leading-the-way-in-los-angeles/,2025-12-18,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,2026-03-11,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure,/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure/,2025-11-27,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/overcoming-barriers-the-future-of-ev-charger-infrastructure-in-los-angeles/,/industry-insights/overcoming-barriers-the-future-of-ev-charger-infrastructure-in-los-angeles/,2026-03-04,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/planning-ev-charger-infrastructure-installation-in-los-angeles-costs-options-and-what-to-expect/,/industry-insights/planning-ev-charger-infrastructure-installation-in-los-angeles-costs-options-and-what-to-expect/,2026-03-22,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/planning-ev-charger-infrastructure-installation-in-los-angeles-costs-options-and-what-to-expect,/industry-insights/planning-ev-charger-infrastructure-installation-in-los-angeles-costs-options-and-what-to-expect/,2025-12-03,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/powering-the-ev-revolution-latest-advances-and-infrastructure-solutions-for-u-s-charging-networks/,/industry-insights/powering-the-ev-revolution-latest-advances-and-infrastructure-solutions-for-u-s-charging-networks/,2026-02-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/powering-the-ev-revolution-latest-advances-and-infrastructure-solutions-for-u-s-charging-networks,/industry-insights/powering-the-ev-revolution-latest-advances-and-infrastructure-solutions-for-u-s-charging-networks/,2025-11-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/powering-the-future-why-expanding-ev-charging-infrastructure-in-los-angeles-matters-now-more-than-ever,/industry-insights/powering-the-future-why-expanding-ev-charging-infrastructure-in-los-angeles-matters-now-more-than-ever/,2026-04-02,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/powering-the-future-why-expanding-ev-charging-infrastructure-in-los-angeles-matters-now-more-than-ever/,/industry-insights/powering-the-future-why-expanding-ev-charging-infrastructure-in-los-angeles-matters-now-more-than-ever/,2026-04-02,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/preparing-los-angeles-buildings-for-the-ev-charging-boom-what-owners-developers-and-businesses-need-to-know/,/industry-insights/preparing-los-angeles-buildings-for-the-ev-charging-boom-what-owners-developers-and-businesses-need-to-know/,2026-02-03,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/preparing-your-property-for-the-next-wave-of-ev-charging-a-practical-guide-for-los-angeles-owners/,/industry-insights/preparing-your-property-for-the-next-wave-of-ev-charging-a-practical-guide-for-los-angeles-owners/,2026-03-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/public-ev-charging-what-property-owners-and-developers-in-los-angeles-need-to-know/,/industry-insights/public-ev-charging-what-property-owners-and-developers-in-los-angeles-need-to-know/,2025-12-30,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/pushmatic-panel-upgrade-guide-2/,/industry-insights/pushmatic-panel-upgrade-guide-2/,2026-04-27,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/reliable-facilities-maintenance-electrician-services-by-shaffer-construction-inc,/industry-insights/reliable-facilities-maintenance-electrician-services-by-shaffer-construction-inc/,2025-11-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/reliable-facilities-maintenance-electrician-services-by-shaffer-construction-inc/,/industry-insights/reliable-facilities-maintenance-electrician-services-by-shaffer-construction-inc/,2025-11-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/residential-electrical-services-what-every-homeowner-should-know-about-hiring-a-contractor,/industry-insights/residential-electrical-services-what-every-homeowner-should-know-about-hiring-a-contractor/,2025-11-26,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/retail-store-electrical-planning-design-guide,/industry-insights/retail-store-electrical-planning-design-guide/,2025-11-27,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/should-i-install-an-ev-charger-at-home-a-practical-guide-for-los-angeles-homeowners/,/industry-insights/should-i-install-an-ev-charger-at-home-a-practical-guide-for-los-angeles-homeowners/,2025-12-29,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/should-you-install-an-ev-charger-at-home-a-practical-guide-for-los-angeles-homeowners/,/industry-insights/should-you-install-an-ev-charger-at-home-a-practical-guide-for-los-angeles-homeowners/,2025-12-30,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/smart-ev-charging-solutions/,/industry-insights/smart-ev-charging-solutions/,2026-04-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/surging-ahead-how-the-ev-charging-station-market-is-transforming-los-angeles-properties-and-communities/,/industry-insights/surging-ahead-how-the-ev-charging-station-market-is-transforming-los-angeles-properties-and-communities/,2026-01-15,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-complete-guide-to-ev-charging-infrastructure-in-los-angeles-trends-technologies-and-installation-tips-for-property-owners,/industry-insights/the-complete-guide-to-ev-charging-infrastructure-in-los-angeles-trends-technologies-and-installation-tips-for-property-owners/,2025-11-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-electric-vehicle-revolution-building-the-future-of-charger-infrastructure/,/industry-insights/the-electric-vehicle-revolution-building-the-future-of-charger-infrastructure/,2026-01-21,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-essential-guide-to-installing-ev-chargers-benefits-considerations-and-technologies/,/industry-insights/the-essential-guide-to-installing-ev-chargers-benefits-considerations-and-technologies/,2026-02-25,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-is-electric-the-importance-of-ev-charging-stations-in-commercial-properties/,/industry-insights/the-future-is-electric-the-importance-of-ev-charging-stations-in-commercial-properties/,2026-02-04,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-is-electric-the-importance-of-ev-charging-stations-in-commercial-properties,/industry-insights/the-future-is-electric-the-importance-of-ev-charging-stations-in-commercial-properties/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-economic-benefits-technological-innovations-and-government-initiatives/,/industry-insights/the-future-of-electric-vehicle-charging-economic-benefits-technological-innovations-and-government-initiatives/,2026-04-24,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-economic-benefits-technological-innovations-and-government-initiatives,/industry-insights/the-future-of-electric-vehicle-charging-economic-benefits-technological-innovations-and-government-initiatives/,2025-12-14,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-innovations-and-insights/,2026-03-30,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-opportunities-and-innovations/,/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-opportunities-and-innovations/,2026-03-29,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-opportunities-and-innovations,/industry-insights/the-future-of-electric-vehicle-charging-infrastructure-trends-opportunities-and-innovations/,2025-12-09,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-insights-on-infrastructure-growth-and-safety-innovations/,/industry-insights/the-future-of-electric-vehicle-charging-insights-on-infrastructure-growth-and-safety-innovations/,2026-02-06,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-insights-on-infrastructure-growth-and-safety-innovations,/industry-insights/the-future-of-electric-vehicle-charging-insights-on-infrastructure-growth-and-safety-innovations/,2025-12-08,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-electric-vehicle-charging-why-infrastructure-matters-for-sustainable-growth,/industry-insights/the-future-of-electric-vehicle-charging-why-infrastructure-matters-for-sustainable-growth/,2025-12-19,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charger-installation-transforming-transportation-in-los-angeles/,/industry-insights/the-future-of-ev-charger-installation-transforming-transportation-in-los-angeles/,2026-03-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charger-installation-transforming-transportation-in-los-angeles,/industry-insights/the-future-of-ev-charger-installation-transforming-transportation-in-los-angeles/,2025-12-05,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charger-installation-trends-incentives-and-innovations-you-need-to-know/,/industry-insights/the-future-of-ev-charger-installation-trends-incentives-and-innovations-you-need-to-know/,2026-03-12,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-how-smart-infrastructure-bidirectional-tech-and-community-collaboration-are-shaping-los-angeles/,/industry-insights/the-future-of-ev-charging-how-smart-infrastructure-bidirectional-tech-and-community-collaboration-are-shaping-los-angeles/,2026-04-17,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-how-smart-infrastructure-bidirectional-tech-and-community-collaboration-are-shaping-los-angeles,/industry-insights/the-future-of-ev-charging-how-smart-infrastructure-bidirectional-tech-and-community-collaboration-are-shaping-los-angeles/,2025-12-14,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-breakthrough-technologies-expanded-access-and-smarter-infrastructure,/industry-insights/the-future-of-ev-charging-in-los-angeles-breakthrough-technologies-expanded-access-and-smarter-infrastructure/,2025-12-16,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-policy-updates-security-innovations-and-expanding-access-for-all-residents,/industry-insights/the-future-of-ev-charging-in-los-angeles-policy-updates-security-innovations-and-expanding-access-for-all-residents/,2025-12-04,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,2026-03-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-challenges-and-how-property-owners-can-prepare/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-incentives-and-essential-upgrades-for-property-owners/,/industry-insights/the-future-of-ev-charging-in-los-angeles-trends-incentives-and-essential-upgrades-for-property-owners/,2025-12-30,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-infrastructure-innovations-policy-updates-and-smart-solutions-for-california-property-owners/,/industry-insights/the-future-of-ev-charging-infrastructure-innovations-policy-updates-and-smart-solutions-for-california-property-owners/,2026-03-21,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-infrastructure-innovations-policy-updates-and-smart-solutions-for-california-property-owners,/industry-insights/the-future-of-ev-charging-infrastructure-innovations-policy-updates-and-smart-solutions-for-california-property-owners/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-infrastructure-key-trends-innovations-and-opportunities-for-los-angeles-businesses-and-homeowners/,/industry-insights/the-future-of-ev-charging-infrastructure-key-trends-innovations-and-opportunities-for-los-angeles-businesses-and-homeowners/,2026-03-20,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-infrastructure-key-trends-innovations-and-opportunities-for-los-angeles-businesses-and-homeowners,/industry-insights/the-future-of-ev-charging-infrastructure-key-trends-innovations-and-opportunities-for-los-angeles-businesses-and-homeowners/,2025-11-24,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-infrastructure-trends-challenges-and-solutions-for-reliable-electric-vehicle-power/,/industry-insights/the-future-of-ev-charging-infrastructure-trends-challenges-and-solutions-for-reliable-electric-vehicle-power/,2026-01-30,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/the-future-of-ev-charging-latest-technologies-infrastructure-trends-and-expert-installation-tips-for-los-angeles/,/industry-insights/the-future-of-ev-charging-latest-technologies-infrastructure-trends-and-expert-installation-tips-for-los-angeles/,2026-03-20,blog,5,Consolidate into a stronger commercial page or refresh
